epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8421.04,1.45943,1.50894,0.98833,0.4392,0.32941,0.2954,0.11746,1.48111,1.87611,1.06138,0.000416,0.000416,0.000416
82,8512.88,1.38974,1.43779,0.95622,0.43959,0.29412,0.24582,0.10899,1.51604,1.90296,1.0836,0.0003962,0.0003962,0.0003962
83,8605.94,1.33379,1.45135,0.92441,0.46698,0.35294,0.30366,0.12736,1.51515,1.83776,1.08482,0.0003764,0.0003764,0.0003764
84,8698.46,1.40434,1.43489,0.9571,0.48467,0.36471,0.31634,0.12946,1.47226,1.80702,1.05652,0.0003566,0.0003566,0.0003566
85,8791.34,1.32618,1.39093,0.91745,0.52282,0.34118,0.32732,0.13255,1.43939,1.72744,1.04613,0.0003368,0.0003368,0.0003368
86,8883.38,1.39394,1.42604,0.95936,0.52586,0.31765,0.30866,0.14168,1.51469,1.837,1.07215,0.000317,0.000317,0.000317
87,8975.59,1.38217,1.40771,0.9537,0.45924,0.32971,0.28975,0.12182,1.53712,1.82625,1.08222,0.0002972,0.0002972,0.0002972
88,9069.38,1.43142,1.44172,0.97788,0.50467,0.30588,0.30332,0.12628,1.51488,1.85976,1.08597,0.0002774,0.0002774,0.0002774
89,9162.02,1.37559,1.35689,0.93814,0.47635,0.36471,0.33008,0.13711,1.51057,1.85792,1.07599,0.0002576,0.0002576,0.0002576
90,9257.04,1.38318,1.39429,0.95654,0.46644,0.34118,0.28601,0.11894,1.52168,1.77571,1.08401,0.0002378,0.0002378,0.0002378
91,9340.13,1.06871,1.10872,0.77967,0.4963,0.32462,0.31958,0.13104,1.51659,1.82961,1.07075,0.000218,0.000218,0.000218
92,9423.34,1.02676,1.05427,0.76593,0.56193,0.38824,0.33824,0.14433,1.51473,1.84958,1.08514,0.0001982,0.0001982,0.0001982
93,9507.94,1.06018,1.08054,0.79295,0.51233,0.36471,0.34219,0.15157,1.53726,1.85612,1.07639,0.0001784,0.0001784,0.0001784
94,9590.6,1.048,1.03086,0.79374,0.58311,0.35294,0.34557,0.14969,1.51416,1.84658,1.06059,0.0001586,0.0001586,0.0001586
95,9673.91,1.02739,1.02579,0.76625,0.55362,0.38824,0.34956,0.14466,1.50123,1.83159,1.06178,0.0001388,0.0001388,0.0001388
96,9758.59,1.07851,1.06459,0.81061,0.53419,0.35082,0.34146,0.14209,1.50784,1.82791,1.06109,0.000119,0.000119,0.000119
97,9841.87,1.04977,1.04831,0.79138,0.5227,0.37647,0.33903,0.1444,1.48864,1.82508,1.05391,9.92e-05,9.92e-05,9.92e-05
98,9924.87,1.04385,0.98057,0.77413,0.51687,0.33985,0.341,0.14213,1.4714,1.80001,1.04931,7.94e-05,7.94e-05,7.94e-05
99,10008.9,1.06123,1.0237,0.78359,0.52905,0.34118,0.32689,0.14523,1.50304,1.80936,1.06212,5.96e-05,5.96e-05,5.96e-05
100,10092,1.04502,0.99782,0.77611,0.52593,0.35294,0.33576,0.14383,1.49619,1.81863,1.06614,3.98e-05,3.98e-05,3.98e-05
